test,item,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
132,01,2.772844e+01,3.495109e-01,2.089100e+01,2.573126e+01,3.177423e+01,1.088322e+01,1.288806e+03,1.541015e+03,1.400990e+02,1.961016e+02,1.491968e+00,6.466792e-01,2.860612e-01,1.622504e+00,2.347781e+00,2.061720e+00,2.156304e+01,1.213544e+01,1.478468e+01,8.883836e+00,9.349475e-01,7.437096e-01,6.789822e+00,2.621631e+00,5.205861e+00,2.302158e+00,1.224802e+01,1.351399e+00,1.217013e+01,1.245222e+00,3.663720e-02,1.332690e+00,1.255230e+00,9.399000e-01,2.963308e+00,1.801425e+00,7.683927e+00,2.151545e+00,1.044162e+01,1.480646e+00,6.067467e+02,5.508351e-01,1.050842e+03,2.929693e-01,-8.453496e+01,-1.022326e+00,1.607341e+03,2.200264e-01,7.806920e+02,3.605374e-01,-7.997922e+01,-1.030267e+00,2.606117e+03,1.453717e-01,6.721299e+02,3.462849e-01,-8.052818e+01,-1.016350e+00,-7.397069e+00,-1.439805e+00,1.513352e+01,6.835063e-01,-6.655913e-03,-6.773193e+00,-5.837188e-03,-2.207984e+00,1.165925e+00,5.148007e-01,1.314778e+01,1.207723e+00,6.328135e+00,2.060649e+00,1.408619e+01,1.293311e+00,1.588550e+01,9.652823e-01,7.819319e-01,7.638714e+00,-8.375865e-03,8.486290e-03,6.079843e-01,4.095004e+00,2.553542e+00,2.493548e-01,2.420202e-01,1.181250e-01,1.044461e-01,-2.128602e+01
132,02,3.662314e+01,1.333090e-01,3.246732e+01,3.648364e+01,4.101248e+01,8.545162e+00,2.313521e+02,3.398953e+02,7.972989e+01,7.790402e+01,1.503772e+00,9.644893e-01,1.033966e-03,1.341664e+00,2.863058e+00,2.862024e+00,3.090913e+01,2.198503e+01,2.251465e+01,1.003453e+01,1.318335e+00,1.115505e+00,1.110363e+01,1.345287e+00,-1.473837e+00,-9.132870e+00,6.070457e+00,2.363522e+00,-9.530797e+00,-1.971012e+00,3.362785e-02,1.814172e+00,1.066521e+00,9.863614e-01,6.535251e+00,8.238536e-01,8.357936e+00,1.104965e+00,1.616723e+01,1.021900e+00,5.702960e+02,4.308324e-01,1.185023e+03,2.188230e-01,-1.172559e+02,-7.949316e-01,1.632584e+03,1.638399e-01,9.709351e+02,4.463127e-01,-1.066530e+02,-8.232061e-01,2.570289e+03,1.291780e-01,9.021987e+02,6.764123e-01,-1.074347e+02,-8.063710e-01,-9.695843e+00,-8.159537e-01,1.760172e+01,4.683816e-01,8.603558e-02,4.455892e-01,-1.846206e-02,-8.353963e-01,2.343055e+00,5.744599e-01,2.019424e+01,6.372794e-01,-5.093912e+00,-3.119310e+00,1.109282e+01,1.502314e+00,-2.047639e+01,-9.420211e-01,-4.167583e+00,1.188056e+01,7.023188e-02,7.753966e-03,4.333906e-01,3.147268e+00,1.905896e+00,2.646875e-01,1.556234e-01,2.467742e-01,3.255208e-01,-1.830598e+01
132,03,3.408210e+01,1.702555e-01,2.970891e+01,3.431404e+01,3.970449e+01,9.995583e+00,2.617401e+02,3.725426e+02,4.565372e+01,2.877873e+01,1.874231e+00,6.336172e-01,6.078116e-01,1.873316e+00,3.034456e+00,2.426644e+00,2.971104e+01,1.733472e+01,2.262939e+01,1.111623e+01,1.552835e+00,7.584249e-01,1.777088e+01,8.167670e-01,-5.237582e+00,-2.812417e+00,9.368490e+00,1.676048e+00,-3.022164e+00,-5.644403e+00,4.207625e-02,2.431744e+00,1.101050e+00,9.432720e-01,6.029103e+00,8.033633e-01,8.787848e+00,1.175847e+00,1.520714e+01,5.862281e-01,5.528344e+02,5.175602e-01,1.133254e+03,2.141128e-01,-6.753059e+01,-1.260930e+00,1.590381e+03,2.007975e-01,7.701805e+02,3.697378e-01,-5.871809e+01,-1.266968e+00,2.629314e+03,1.128793e-01,7.752786e+02,4.328608e-01,-6.069994e+01,-1.203937e+00,-8.754813e+00,-7.543994e-01,1.751584e+01,4.236425e-01,8.323487e-02,3.602721e-01,-1.135858e-02,-1.077990e+00,1.919794e+00,5.613467e-01,2.211965e+01,5.288160e-01,-7.238981e+00,-2.010908e+00,1.100814e+01,1.509617e+00,-5.536919e+00,-3.293131e+00,-6.577910e-01,9.790813e+00,6.208633e-02,-2.668912e-03,3.909106e-01,4.981203e+00,1.983003e+00,3.790476e-01,2.344782e-01,1.142105e-01,1.341372e-01,-1.857838e+01
132,04,3.416043e+01,2.474178e-01,2.636197e+01,3.546427e+01,4.106350e+01,1.470153e+01,3.033437e+02,5.410290e+02,1.999921e+02,5.419639e+02,3.030572e+00,7.430764e-01,4.778717e-01,2.830892e+00,5.506249e+00,5.028377e+00,4.675766e+01,2.561279e+01,3.299644e+01,2.180449e+01,3.417945e+00,9.476542e-01,1.133561e+01,1.381304e+00,6.263375e+00,2.607212e+00,2.348659e+00,7.787377e+00,3.176548e+00,4.121068e+00,4.128327e-02,1.606202e+00,1.000746e+00,1.145015e+00,5.125979e+00,1.273842e+00,4.710047e+00,3.275362e+00,1.320844e+01,1.329358e+00,6.160028e+02,5.115030e-01,1.112756e+03,2.352730e-01,-8.652750e+01,-1.023579e+00,1.637432e+03,1.856895e-01,8.937729e+02,4.648414e-01,-7.857809e+01,-1.047816e+00,2.633439e+03,1.190358e-01,9.399457e+02,5.279459e-01,-8.041132e+01,-9.947726e-01,-1.030220e+01,-8.942164e-01,1.935345e+01,5.064383e-01,4.279504e-02,1.180811e+00,-1.431177e-02,-1.080701e+00,4.646819e+00,6.743451e-01,1.594533e+01,8.669368e-01,4.292930e+00,3.895963e+00,6.825291e-01,2.963113e+01,8.267686e-02,1.552521e+02,-5.052149e+00,1.302416e+01,-2.404022e-02,-5.334631e-03,9.529907e-01,3.611605e+00,2.731591e+00,2.356522e-01,2.316449e-01,1.145454e-01,1.502794e-01,-1.079918e+01
132,05,2.425796e+01,2.760968e-01,1.552927e+01,2.529782e+01,2.961528e+01,1.408601e+01,5.276311e+02,1.065158e+03,3.554657e+01,1.897271e+01,8.619009e-01,1.019628e+00,6.005411e-02,6.156600e-01,1.581778e+00,1.521724e+00,1.563077e+01,8.862783e+00,1.675816e+01,1.260554e+01,7.677519e-01,1.005268e+00,2.491304e+01,6.385567e-01,1.091900e+01,1.164153e+00,1.945520e+01,7.587271e-01,1.191557e+01,9.707140e-01,3.879709e-02,1.724196e+00,1.617861e+00,9.307969e-01,3.381707e+00,2.167097e+00,3.784278e+00,5.561588e+00,2.079924e+01,8.912299e-01,5.737955e+02,4.846492e-01,1.182290e+03,1.533791e-01,-7.169685e+01,-1.154319e+00,1.616112e+03,1.942848e-01,9.141877e+02,3.960061e-01,-7.996021e+01,-9.470638e-01,2.620353e+03,1.328051e-01,8.463876e+02,3.361737e-01,-8.160531e+01,-9.124876e-01,-2.051000e+01,-5.153125e-01,2.933718e+01,4.102900e-01,-2.970531e-02,-2.002285e+00,-1.475037e-02,-8.576639e-01,9.639913e-01,8.697772e-01,2.978329e+01,4.271860e-01,8.304266e+00,1.629004e+00,2.190272e+01,7.340527e-01,1.083374e+01,1.137486e+00,-2.639419e+01,3.774149e+01,-9.550775e-02,-6.804522e-03,3.241066e-01,3.249631e+00,3.041543e+00,2.204878e-01,1.967535e-01,9.230769e-02,5.686067e-02,-2.136044e+01
132,06,3.409330e+01,1.416277e-01,3.113400e+01,3.348685e+01,3.815633e+01,7.022329e+00,1.487355e+02,1.664503e+02,4.018822e+01,3.024392e+01,7.927310e-01,7.113869e-01,1.937853e-01,7.662603e-01,1.282367e+00,1.088581e+00,1.244943e+01,7.147720e+00,8.449649e+00,5.310260e+00,5.179195e-01,1.032867e+00,2.118845e+01,7.765926e-01,8.516197e+00,1.406605e+00,6.650878e+00,2.059430e+00,-8.576100e-01,-1.729434e+01,3.553124e-02,2.332888e+00,9.463341e-01,1.245993e+00,8.885775e+00,5.210090e-01,9.714443e+00,1.307024e+00,2.570053e+01,5.535361e-01,6.899564e+02,2.683418e-01,1.254040e+03,1.666420e-01,-8.712494e+01,-1.000686e+00,1.720125e+03,1.612579e-01,8.896166e+02,4.109229e-01,-9.183395e+01,-8.674633e-01,2.829528e+03,8.771165e-02,6.771901e+02,5.035436e-01,-9.585267e+01,-7.981088e-01,-1.828159e+01,-4.718269e-01,2.958429e+01,3.295537e-01,6.120192e-02,6.171216e-01,-2.204127e-02,-6.171338e-01,7.099910e-01,7.603726e-01,2.998615e+01,3.841861e-01,1.003905e+01,1.179031e+00,7.296859e+00,2.076551e+00,-4.345331e+00,-3.528921e+00,-6.276336e+00,1.270796e+01,4.885513e-03,-6.168654e-03,1.880172e-01,3.584672e+00,2.045877e+00,3.006060e-01,1.832524e-01,1.879310e-01,2.257307e-01,-2.378912e+01
132,07,2.665728e+01,2.128166e-01,2.274722e+01,2.627386e+01,3.010185e+01,7.354626e+00,2.600507e+02,5.516913e+02,4.884959e+01,4.310122e+01,1.095361e+00,7.836860e-01,3.043008e-01,9.320986e-01,1.765253e+00,1.460953e+00,1.524336e+01,1.025261e+01,1.464314e+01,9.141658e+00,6.102345e-01,1.075842e+00,1.335746e+01,1.472064e+00,1.028962e+00,1.298932e+01,1.414512e+01,1.228676e+00,7.034979e+00,2.022813e+00,3.395472e-02,1.558666e+00,1.349466e+00,8.348140e-01,2.985772e+00,1.267501e+00,7.497940e+00,1.496652e+00,1.516661e+01,7.723933e-01,4.600753e+02,5.001211e-01,1.095135e+03,1.778989e-01,-6.437775e+01,-1.310033e+00,1.489281e+03,1.876858e-01,6.662308e+02,3.740033e-01,-6.552466e+01,-1.210060e+00,2.522813e+03,1.005299e-01,6.795502e+02,4.324877e-01,-6.613138e+01,-1.186978e+00,-7.250140e+00,-1.149014e+00,1.549246e+01,5.779598e-01,3.503864e-02,1.225437e+00,-1.002855e-02,-1.174666e+00,7.838646e-01,8.732483e-01,2.147385e+01,6.040705e-01,-7.710474e-01,-1.663608e+01,1.699271e+01,1.041207e+00,5.887547e+00,2.613934e+00,3.624154e+00,4.093394e+00,-7.956215e-04,2.688718e-03,1.612296e-01,3.205128e+00,2.072909e+00,3.424138e-01,2.222402e-01,1.193103e-01,9.829341e-02,-2.548605e+01
132,08,3.292799e+01,1.814188e-01,2.916589e+01,3.204118e+01,3.765375e+01,8.487865e+00,5.678409e+02,9.217670e+02,1.680383e+02,2.560811e+02,1.503295e+00,6.495192e-01,3.496684e-01,1.624150e+00,2.329376e+00,1.979708e+00,2.836409e+01,1.848794e+01,2.099193e+01,1.314893e+01,1.474836e+00,8.252663e-01,1.453368e+01,1.182163e+00,9.353116e+00,1.294487e+00,1.314877e+01,1.165799e+00,3.951588e+00,3.502117e+00,3.838361e-02,1.364264e+00,1.370126e+00,1.048285e+00,6.617280e+00,7.538891e-01,5.600611e+00,3.980899e+00,1.476151e+01,1.074061e+00,6.345247e+02,3.215069e-01,1.240127e+03,2.085003e-01,-9.134508e+01,-9.103718e-01,1.716373e+03,1.464778e-01,8.467750e+02,5.192306e-01,-9.142307e+01,-8.305782e-01,2.752659e+03,9.286215e-02,7.528961e+02,4.697034e-01,-9.159892e+01,-8.249209e-01,-1.518224e+01,-6.446256e-01,2.443396e+01,4.445292e-01,8.655559e-03,4.830968e+00,-2.281076e-02,-6.272060e-01,1.877439e+00,6.411592e-01,2.274225e+01,5.636316e-01,9.935426e+00,1.356613e+00,1.693045e+01,9.224396e-01,1.063132e+00,1.421425e+01,-5.015682e+00,1.283944e+01,5.869866e-03,1.970484e-03,1.041464e+00,5.116279e+00,3.831776e+00,1.573171e-01,1.067256e-01,9.628572e-02,1.013364e-01,-1.743055e+01
132,09,2.251288e+01,2.061658e-01,1.906218e+01,2.262421e+01,2.614530e+01,7.083124e+00,2.618112e+02,3.274567e+02,1.004063e+02,1.599092e+02,1.541570e+00,8.246952e-01,9.568707e-02,1.643390e+00,2.847664e+00,2.751977e+00,2.651294e+01,1.784848e+01,1.986965e+01,1.155015e+01,1.823075e+00,1.014969e+00,2.437448e+01,7.148633e-01,1.471468e+01,6.458406e-01,1.427113e+01,1.015031e+00,1.007929e+01,1.109569e+00,4.169660e-02,2.149071e+00,1.194078e+00,1.212139e+00,2.722164e+00,1.839166e+00,2.901685e+00,8.929743e+00,2.444202e+01,8.756357e-01,4.892554e+02,4.060350e-01,1.208213e+03,1.869739e-01,-8.419390e+01,-1.020489e+00,1.509064e+03,1.799280e-01,9.083048e+02,3.702926e-01,-9.351118e+01,-8.306786e-01,2.538011e+03,1.046203e-01,8.186271e+02,3.964997e-01,-9.681844e+01,-7.752755e-01,-1.983678e+01,-4.176491e-01,2.915074e+01,3.094496e-01,-6.446188e-03,-6.059760e+00,-2.370363e-02,-6.291756e-01,2.612855e+00,6.955516e-01,3.285050e+01,4.189958e-01,1.476352e+01,6.690629e-01,1.792507e+01,8.831100e-01,9.854396e+00,1.223845e+00,-1.294017e+01,2.250278e+01,-3.966707e-02,-7.281667e-03,5.285239e-01,3.838772e+00,3.281853e+00,1.796078e-01,1.747599e-01,1.123404e-01,1.316057e-01,-1.295009e+01
132,10,3.120046e+01,2.685659e-01,2.697346e+01,3.324631e+01,3.659667e+01,9.623207e+00,5.371895e+02,6.616808e+02,1.744944e+02,2.702402e+02,2.144161e+00,6.443093e-01,4.919695e-01,2.225389e+00,3.359824e+00,2.867855e+00,4.048980e+01,2.380965e+01,2.866411e+01,1.549145e+01,2.540109e+00,8.733432e-01,2.115798e+01,7.800688e-01,9.827600e+00,1.161544e+00,7.661586e+00,1.962195e+00,9.188933e-02,1.702825e+02,4.121015e-02,2.074309e+00,1.196055e+00,1.098121e+00,6.248803e+00,1.038980e+00,3.924605e+00,5.786623e+00,1.985170e+01,1.083010e+00,6.288120e+02,3.531777e-01,1.249744e+03,2.037954e-01,-7.349486e+01,-1.087577e+00,1.660348e+03,1.723073e-01,9.121851e+02,4.145438e-01,-7.792089e+01,-9.221081e-01,2.746135e+03,1.108857e-01,8.136859e+02,5.181363e-01,-8.265081e+01,-8.314029e-01,-1.739503e+01,-5.025729e-01,2.770315e+01,3.661479e-01,2.488828e-02,2.256092e+00,-2.038612e-02,-7.379967e-01,3.059537e+00,7.607471e-01,2.736755e+01,4.599216e-01,9.888064e+00,1.143053e+00,7.742702e+00,2.119791e+00,-2.877751e+00,-5.710003e+00,-7.047057e+00,1.473998e+01,-2.827543e-02,-7.675452e-03,1.342206e+00,5.501618e+00,4.065041e+00,1.650000e-01,1.414390e-01,7.023809e-02,5.845178e-02,-1.213074e+01
