test,item,score,speaker_name,speaker_style,speaker,speaker_gender,speaker_age,rater,rater_gender,rater_age
132,1,5,anago,calm,3193,M.s,48,3,F.r,64
132,2,4,vaait,intense,3194,F.s,57,3,F.r,64
132,3,3,erand,intense,3195,M.s,44,3,F.r,64
132,4,1,paann,intense,3196,F.s,69,3,F.r,64
132,5,6,prjaa,intense,3197,M.s,39,3,F.r,64
132,6,5,pxeli,calm,3198,F.s,31,3,F.r,64
132,7,3,rachr,calm,3199,M.s,30,3,F.r,64
132,8,6,ktele,intense,3200,F.s,45,3,F.r,64
132,9,6,taarn,calm,3201,M.s,35,3,F.r,64
132,10,6,marii,calm,3202,F.s,38,3,F.r,64
132,11,4,ojand,intense,3203,M.s,37,3,F.r,64
132,12,2,deane,intense,3204,F.s,23,3,F.r,64
132,13,3,tuvei,calm,3205,M.s,37,3,F.r,64
132,14,3,lerea,intense,3206,F.s,30,3,F.r,64
132,15,5,raard,intense,3207,M.s,46,3,F.r,64
132,16,5,tapir,calm,3208,F.s,53,3,F.r,64
132,17,6,revel,calm,3209,M.s,39,3,F.r,64
132,18,6,reeli,calm,3210,F.s,44,3,F.r,64
132,19,3,raand,intense,3211,M.s,50,3,F.r,64
132,20,1,krpir,intense,3212,F.s,31,3,F.r,64
132,21,5,mafra,intense,3213,M.s,20,3,F.r,64
132,22,1,pueli,intense,3214,F.s,37,3,F.r,64
132,23,6,povei,calm,3215,M.s,31,3,F.r,64
132,24,2,pomir,intense,3216,F.s,38,3,F.r,64
132,25,2,laerk,intense,3217,M.s,44,3,F.r,64
132,26,6,pamer,calm,3218,F.s,50,3,F.r,64
132,27,2,saerk,intense,3219,M.s,41,3,F.r,64
132,28,2,mxmer,calm,3220,F.s,19,3,F.r,64
132,29,1,auerk,intense,3221,M.s,50,3,F.r,64
132,30,2,kleva,intense,3222,F.s,43,3,F.r,64
132,31,2,anago,intense,3223,M.s,48,3,F.r,64
132,32,5,pueli,calm,3224,F.s,37,3,F.r,64
132,33,7,ojand,calm,3225,M.s,37,3,F.r,64
132,34,1,marii,intense,3226,F.s,38,3,F.r,64
132,35,5,erand,calm,3227,M.s,44,3,F.r,64
132,36,5,ktele,calm,3228,F.s,45,3,F.r,64
132,37,2,revel,intense,3229,M.s,39,3,F.r,64
132,38,1,tapir,intense,3230,F.s,53,3,F.r,64
132,39,5,prjaa,calm,3231,M.s,39,3,F.r,64
132,40,4,vaait,calm,3232,F.s,57,3,F.r,64
132,41,5,raand,calm,3233,M.s,50,3,F.r,64
132,42,3,pomir,calm,3234,F.s,38,3,F.r,64
132,43,2,tuvei,intense,3235,M.s,37,3,F.r,64
132,44,5,deane,calm,3236,F.s,23,3,F.r,64
132,45,1,povei,intense,3237,M.s,31,3,F.r,64
132,46,3,lerea,calm,3238,F.s,30,3,F.r,64
132,47,3,raard,calm,3239,M.s,46,3,F.r,64
132,48,5,paann,calm,3240,F.s,69,3,F.r,64
132,49,5,taarn,intense,3241,M.s,35,3,F.r,64
132,50,3,krpir,calm,3242,F.s,31,3,F.r,64
132,51,2,rachr,intense,3243,M.s,30,3,F.r,64
132,52,5,pamer,intense,3244,F.s,50,3,F.r,64
132,53,6,auerk,calm,3245,M.s,50,3,F.r,64
132,54,2,mxmer,intense,3246,F.s,19,3,F.r,64
132,55,6,laerk,calm,3247,M.s,44,3,F.r,64
132,56,4,pxeli,intense,3248,F.s,31,3,F.r,64
132,57,6,saerk,calm,3249,M.s,41,3,F.r,64
132,58,2,reeli,intense,3250,F.s,44,3,F.r,64
132,59,6,mafra,calm,3251,M.s,20,3,F.r,64
132,60,5,kleva,calm,3252,F.s,43,3,F.r,64
132,1,3,anago,calm,3193,M.s,48,16,F.r,50
132,2,1,vaait,intense,3194,F.s,57,16,F.r,50
132,3,1,erand,intense,3195,M.s,44,16,F.r,50
132,4,1,paann,intense,3196,F.s,69,16,F.r,50
132,5,2,prjaa,intense,3197,M.s,39,16,F.r,50
132,6,5,pxeli,calm,3198,F.s,31,16,F.r,50
132,7,2,rachr,calm,3199,M.s,30,16,F.r,50
132,8,2,ktele,intense,3200,F.s,45,16,F.r,50
132,9,3,taarn,calm,3201,M.s,35,16,F.r,50
132,10,2,marii,calm,3202,F.s,38,16,F.r,50
132,11,1,ojand,intense,3203,M.s,37,16,F.r,50
132,12,2,deane,intense,3204,F.s,23,16,F.r,50
132,13,3,tuvei,calm,3205,M.s,37,16,F.r,50
132,14,2,lerea,intense,3206,F.s,30,16,F.r,50
132,15,2,raard,intense,3207,M.s,46,16,F.r,50
132,16,4,tapir,calm,3208,F.s,53,16,F.r,50
132,17,5,revel,calm,3209,M.s,39,16,F.r,50
132,18,6,reeli,calm,3210,F.s,44,16,F.r,50
132,19,1,raand,intense,3211,M.s,50,16,F.r,50
132,20,2,krpir,intense,3212,F.s,31,16,F.r,50
132,21,1,mafra,intense,3213,M.s,20,16,F.r,50
132,22,2,pueli,intense,3214,F.s,37,16,F.r,50
132,23,2,povei,calm,3215,M.s,31,16,F.r,50
132,24,4,pomir,intense,3216,F.s,38,16,F.r,50
132,25,2,laerk,intense,3217,M.s,44,16,F.r,50
132,26,4,pamer,calm,3218,F.s,50,16,F.r,50
132,27,2,saerk,intense,3219,M.s,41,16,F.r,50
132,28,2,mxmer,calm,3220,F.s,19,16,F.r,50
132,29,3,auerk,intense,3221,M.s,50,16,F.r,50
132,30,4,kleva,intense,3222,F.s,43,16,F.r,50
132,31,1,anago,intense,3223,M.s,48,16,F.r,50
132,32,7,pueli,calm,3224,F.s,37,16,F.r,50
132,33,4,ojand,calm,3225,M.s,37,16,F.r,50
132,34,1,marii,intense,3226,F.s,38,16,F.r,50
132,35,6,erand,calm,3227,M.s,44,16,F.r,50
132,36,6,ktele,calm,3228,F.s,45,16,F.r,50
132,37,2,revel,intense,3229,M.s,39,16,F.r,50
132,38,3,tapir,intense,3230,F.s,53,16,F.r,50
132,39,2,prjaa,calm,3231,M.s,39,16,F.r,50
132,40,5,vaait,calm,3232,F.s,57,16,F.r,50
132,41,4,raand,calm,3233,M.s,50,16,F.r,50
132,42,5,pomir,calm,3234,F.s,38,16,F.r,50
132,43,4,tuvei,intense,3235,M.s,37,16,F.r,50
132,44,5,deane,calm,3236,F.s,23,16,F.r,50
132,45,3,povei,intense,3237,M.s,31,16,F.r,50
132,46,6,lerea,calm,3238,F.s,30,16,F.r,50
132,47,3,raard,calm,3239,M.s,46,16,F.r,50
132,48,4,paann,calm,3240,F.s,69,16,F.r,50
132,49,4,taarn,intense,3241,M.s,35,16,F.r,50
132,50,4,krpir,calm,3242,F.s,31,16,F.r,50
132,51,1,rachr,intense,3243,M.s,30,16,F.r,50
132,52,4,pamer,intense,3244,F.s,50,16,F.r,50
132,53,5,auerk,calm,3245,M.s,50,16,F.r,50
132,54,2,mxmer,intense,3246,F.s,19,16,F.r,50
132,55,3,laerk,calm,3247,M.s,44,16,F.r,50
132,56,5,pxeli,intense,3248,F.s,31,16,F.r,50
132,57,3,saerk,calm,3249,M.s,41,16,F.r,50
132,58,2,reeli,intense,3250,F.s,44,16,F.r,50
132,59,1,mafra,calm,3251,M.s,20,16,F.r,50
132,60,5,kleva,calm,3252,F.s,43,16,F.r,50
132,1,7,anago,calm,3193,M.s,48,18,F.r,48
132,2,2,vaait,intense,3194,F.s,57,18,F.r,48
132,3,3,erand,intense,3195,M.s,44,18,F.r,48
132,4,2,paann,intense,3196,F.s,69,18,F.r,48
132,5,4,prjaa,intense,3197,M.s,39,18,F.r,48
132,6,4,pxeli,calm,3198,F.s,31,18,F.r,48
132,7,4,rachr,calm,3199,M.s,30,18,F.r,48
132,8,4,ktele,intense,3200,F.s,45,18,F.r,48
132,9,2,taarn,calm,3201,M.s,35,18,F.r,48
132,10,2,marii,calm,3202,F.s,38,18,F.r,48
132,11,5,ojand,intense,3203,M.s,37,18,F.r,48
132,12,5,deane,intense,3204,F.s,23,18,F.r,48
132,13,2,tuvei,calm,3205,M.s,37,18,F.r,48
132,14,5,lerea,intense,3206,F.s,30,18,F.r,48
132,15,6,raard,intense,3207,M.s,46,18,F.r,48
132,16,4,tapir,calm,3208,F.s,53,18,F.r,48
132,17,5,revel,calm,3209,M.s,39,18,F.r,48
132,19,3,raand,intense,3211,M.s,50,18,F.r,48
132,20,2,krpir,intense,3212,F.s,31,18,F.r,48
132,21,7,mafra,intense,3213,M.s,20,18,F.r,48
132,22,5,pueli,intense,3214,F.s,37,18,F.r,48
132,23,4,povei,calm,3215,M.s,31,18,F.r,48
132,24,5,pomir,intense,3216,F.s,38,18,F.r,48
132,25,5,laerk,intense,3217,M.s,44,18,F.r,48
132,26,7,pamer,calm,3218,F.s,50,18,F.r,48
132,27,2,saerk,intense,3219,M.s,41,18,F.r,48
132,28,5,mxmer,calm,3220,F.s,19,18,F.r,48
132,29,3,auerk,intense,3221,M.s,50,18,F.r,48
132,30,6,kleva,intense,3222,F.s,43,18,F.r,48
132,31,3,anago,intense,3223,M.s,48,18,F.r,48
132,32,2,pueli,calm,3224,F.s,37,18,F.r,48
132,33,4,ojand,calm,3225,M.s,37,18,F.r,48
132,34,3,marii,intense,3226,F.s,38,18,F.r,48
132,35,4,erand,calm,3227,M.s,44,18,F.r,48
132,36,5,ktele,calm,3228,F.s,45,18,F.r,48
132,37,6,revel,intense,3229,M.s,39,18,F.r,48
132,38,7,tapir,intense,3230,F.s,53,18,F.r,48
132,39,1,prjaa,calm,3231,M.s,39,18,F.r,48
132,40,4,vaait,calm,3232,F.s,57,18,F.r,48
132,41,6,raand,calm,3233,M.s,50,18,F.r,48
132,42,7,pomir,calm,3234,F.s,38,18,F.r,48
